Date,AvgSpeed,Cool,Depart,DewPoint,Heat,PrecipTotal,ResultDir,ResultSpeed,SeaLevel,StnPressure,Sunrise,Sunset,Tavg,Tmax,Tmin,WetBulb,lowvis,n_codesum,rain,Year,Month,Week,DayOfWeek
2007-05-01,9.399999999999999,2.5,14.5,51.0,0.0,0.0,26.0,2.2,29.82,29.14,448.0,1849.0,67.5,83.5,51.0,56.5,0.0,0.0,0.0,2007,5,18,1
2007-05-02,13.4,0.0,-2.5,42.0,13.5,0.0,3.0,13.15,30.085,29.41,447.0,1850.0,51.5,59.5,42.5,47.0,1.0,1.5,0.0,2007,5,18,2
2007-05-03,12.55,0.0,3.0,40.0,8.0,0.0,6.5,12.3,30.12,29.425,446.0,1851.0,57.0,66.5,47.0,49.0,0.5,0.5,0.0,2007,5,18,3
2007-05-04,10.600000000000001,0.0,7.0,41.5,4.0,0.005,7.5,10.25,30.045,29.335,444.0,1852.0,61.0,72.0,50.0,50.0,0.0,0.5,0.5,2007,5,18,4
2007-05-05,11.75,0.0,5.0,38.5,5.0,0.01,7.0,11.45,30.095,29.43,443.0,1853.0,60.0,66.0,53.5,49.5,0.0,0.0,0.0,2007,5,18,5
2007-05-06,14.75,0.0,4.5,30.0,5.5,0.0,10.5,14.100000000000001,30.285,29.595,442.0,1855.0,59.5,68.0,50.5,46.0,0.0,0.0,0.0,2007,5,18,6
2007-05-07,10.2,1.0,11.0,40.0,0.0,0.005,17.5,8.55,30.12,29.41,441.0,1856.0,66.0,83.5,48.5,53.5,0.0,0.5,0.5,2007,5,19,0
2007-05-08,5.6,4.0,13.0,57.5,0.0,0.005,9.5,2.6,30.025,29.325,439.0,1857.0,69.0,81.0,57.0,62.5,1.0,1.0,0.0,2007,5,19,1
2007-05-09,6.050000000000001,4.5,13.5,59.5,0.0,0.075,8.0,3.9,29.935000000000002,29.245,438.0,1858.0,69.5,76.5,62.0,63.0,1.0,2.0,0.0,2007,5,19,2
2007-05-10,4.0,5.5,14.5,52.0,0.0,0.0,13.0,1.35,29.915,29.23,437.0,1859.0,70.5,83.5,57.5,60.5,1.0,1.5,0.0,2007,5,19,3
2007-05-11,12.850000000000001,0.0,4.0,43.0,4.0,0.0,19.5,11.5,30.035,29.36,436.0,1860.0,61.0,71.5,50.0,51.0,0.0,0.0,0.0,2007,5,19,4
